00001011001111010  bits: 17, d:16
00010111100111010  bits: 17, d:16
00000101100111010  bits: 17, d:16
00001110111011010  bits: 17, d:16
00001110011011010  bits: 17, d:16
00110001111101010  bits: 17, d:16
01100100111101010  bits: 17, d:16
00011101101101010  bits: 17, d:16
00001111001101010  bits: 17, d:16
11000011001101010  bits: 17, d:16
11000110110101010  bits: 17, d:16
00110111100101010  bits: 17, d:16
00111101100101010  bits: 17, d:16
00001101100101010  bits: 17, d:16
11110001100101010  bits: 17, d:16
00000110111001010  bits: 17, d:16
00011111011001010  bits: 17, d:16
00011110011001010  bits: 17, d:16
00011111001001010  bits: 17, d:16
11110100110001010  bits: 17, d:16
00011010111110010  bits: 17, d:16
00011000110110010  bits: 17, d:16
00011110111010010  bits: 17, d:16
00011111001010010  bits: 17, d:16
00011101110010010  bits: 17, d:16
00011100110010010  bits: 17, d:16
00011101100010010  bits: 17, d:16
01110101101100010  bits: 17, d:16
01110011110100010  bits: 17, d:16
11010111100100010  bits: 17, d:16
11010100110000010  bits: 17, d:16
01101011001111100  bits: 17, d:16
01010100110111100  bits: 17, d:16
10101001100111100  bits: 17, d:16
10101010010011100  bits: 17, d:16
01101101000011100  bits: 17, d:16
01010100111101100  bits: 17, d:16
01010111110001100  bits: 17, d:16
10111110011010100  bits: 17, d:16
01111100110010100  bits: 17, d:16
01111100010010100  bits: 17, d:16
01111101100010100  bits: 17, d:16
10111011000010100  bits: 17, d:16
01111100010100100  bits: 17, d:16
01010011011111000  bits: 17, d:16
01001010011111000  bits: 17, d:16
01010010011111000  bits: 17, d:16
01001011101111000  bits: 17, d:16
01010011001111000  bits: 17, d:16
01001001110111000  bits: 17, d:16
01010110110111000  bits: 17, d:16
01001000110111000  bits: 17, d:16
01001001100111000  bits: 17, d:16
01001111101011000  bits: 17, d:16
01001101100011000  bits: 17, d:16
01011100111101000  bits: 17, d:16
01111100110101000  bits: 17, d:16
01110101111001000  bits: 17, d:16
01010110011110000  bits: 17, d:16
01011011101110000  bits: 17, d:16
01101011101110000  bits: 17, d:16
01011011001110000  bits: 17, d:16
10101011001110000  bits: 17, d:16
01010100110110000  bits: 17, d:16
01011110011010000  bits: 17, d:16
10101110011010000  bits: 17, d:16
01010011101100000  bits: 17, d:16
01011100110100000  bits: 17, d:16
bits: 17, Max : 16
000110010010101111  bits: 18, d:17
100010001101001111  bits: 18, d:17
100110010100001111  bits: 18, d:17
000010101101100111  bits: 18, d:17
101010010011000111  bits: 18, d:17
101011001100000111  bits: 18, d:17
100000101101110011  bits: 18, d:17
010110100000110011  bits: 18, d:17
100110000010110101  bits: 18, d:17
111000001100110101  bits: 18, d:17
111000110010010101  bits: 18, d:17
001100111110100101  bits: 18, d:17
111100001010011001  bits: 18, d:17
101011010000011001  bits: 18, d:17
111100101100010001  bits: 18, d:17
110011101101000001  bits: 18, d:17
001100010010111110  bits: 18, d:17
000011010011101110  bits: 18, d:17
010100101111100110  bits: 18, d:17
000011110101100110  bits: 18, d:17
110011000001011010  bits: 18, d:17
000111001101101010  bits: 18, d:17
000111110011001010  bits: 18, d:17
011001111101001010  bits: 18, d:17
101001011111001100  bits: 18, d:17
011111010010001100  bits: 18, d:17
010100110011111000  bits: 18, d:17
010101101100111000  bits: 18, d:17
111101010010011000  bits: 18, d:17
011001101011110000  bits: 18, d:17
011101110010110000  bits: 18, d:17
111001101101010000  bits: 18, d:17
bits: 18, Max : 17
bits: 19, Max : 1
01100011010001011111  bits: 20, d:19
10010011000010101111  bits: 20, d:19
01001011000001110111  bits: 20, d:19
00010001111100101101  bits: 20, d:19
00000101110100111001  bits: 20, d:19
11110101000011001001  bits: 20, d:19
00001010111100110110  bits: 20, d:19
11111010001011000110  bits: 20, d:19
11101110000011010010  bits: 20, d:19
10110100111110001000  bits: 20, d:19
01101100111101010000  bits: 20, d:19
10011100101110100000  bits: 20, d:19
bits: 20, Max : 19
101010010011000111111  bits: 21, d:20
101011000110010011111  bits: 21, d:20
101010110011000011111  bits: 21, d:20
101011010011000011111  bits: 21, d:20
101000110100001101111  bits: 21, d:20
101000001100110101111  bits: 21, d:20
101000011001100101111  bits: 21, d:20
101001001100110001111  bits: 21, d:20
010101011001100001111  bits: 21, d:20
101010011001100001111  bits: 21, d:20
101001010011000001111  bits: 21, d:20
101001011000001110111  bits: 21, d:20
101000100011010010111  bits: 21, d:20
100011000110100010111  bits: 21, d:20
101100100001011100111  bits: 21, d:20
101100001001110100111  bits: 21, d:20
101100010110000100111  bits: 21, d:20
101100010100000100111  bits: 21, d:20
101101100100011000111  bits: 21, d:20
101101110001001000111  bits: 21, d:20
101101101110001000111  bits: 21, d:20
101101110100001000111  bits: 21, d:20
101101000100010000111  bits: 21, d:20
101101011001100000111  bits: 21, d:20
101011011100100000111  bits: 21, d:20
101101011100100000111  bits: 21, d:20
101011011000100000111  bits: 21, d:20
101011010011000000111  bits: 21, d:20
100010100100011111011  bits: 21, d:20
100010110001001111011  bits: 21, d:20
100010010100000111011  bits: 21, d:20
100011100100011011011  bits: 21, d:20
100000111011101011011  bits: 21, d:20
100011110001001011011  bits: 21, d:20
100000111011101101011  bits: 21, d:20
100010001011101001011  bits: 21, d:20
101010110000001110011  bits: 21, d:20
100100101011111100011  bits: 21, d:20
100100100011011100011  bits: 21, d:20
100100110110001100011  bits: 21, d:20
100101001100110000011  bits: 21, d:20
100101010011000000011  bits: 21, d:20
111000100001011101101  bits: 21, d:20
111000100100011101101  bits: 21, d:20
111000100011101101101  bits: 21, d:20
111000110001001101101  bits: 21, d:20
111000001001110101101  bits: 21, d:20
111000001100110101101  bits: 21, d:20
111000010001000101101  bits: 21, d:20
111001110100001001101  bits: 21, d:20
111001000011010001101  bits: 21, d:20
111001000001010001101  bits: 21, d:20
111001011100100001101  bits: 21, d:20
111000001001110110101  bits: 21, d:20
111000001000110110101  bits: 21, d:20
111110000110010110101  bits: 21, d:20
111000000110010110101  bits: 21, d:20
111110010011000110101  bits: 21, d:20
111110000110011010101  bits: 21, d:20
110011100000011010101  bits: 21, d:20
000011110011001010101  bits: 21, d:20
111100001100110010101  bits: 21, d:20
111111000110010010101  bits: 21, d:20
111011100000110100101  bits: 21, d:20
111100000110010100101  bits: 21, d:20
111100011001100100101  bits: 21, d:20
111101100001011000101  bits: 21, d:20
111010010110001000101  bits: 21, d:20
111101001100110000101  bits: 21, d:20
111101011001100000101  bits: 21, d:20
100110011110100000101  bits: 21, d:20
101000001011110011001  bits: 21, d:20
110000000110010101001  bits: 21, d:20
110000011001100101001  bits: 21, d:20
110001100011011001001  bits: 21, d:20
110001111110101001001  bits: 21, d:20
110001110110001001001  bits: 21, d:20
110110100100011110001  bits: 21, d:20
110110110001001110001  bits: 21, d:20
111010001011000110001  bits: 21, d:20
110111100100011010001  bits: 21, d:20
110111110001001010001  bits: 21, d:20
110111000001010010001  bits: 21, d:20
110100101110100010001  bits: 21, d:20
110101101110111000001  bits: 21, d:20
110110101110111000001  bits: 21, d:20
001001010001000111110  bits: 21, d:20
001010010001000111110  bits: 21, d:20
001011010001011101110  bits: 21, d:20
001000111110101101110  bits: 21, d:20
001000001110110101110  bits: 21, d:20
001000011011100101110  bits: 21, d:20
000101110100111001110  bits: 21, d:20
001001001110110001110  bits: 21, d:20
001001011011100001110  bits: 21, d:20
001110001001110110110  bits: 21, d:20
001110000001010110110  bits: 21, d:20
001110011100100110110  bits: 21, d:20
001111100110011010110  bits: 21, d:20
001111111001101010110  bits: 21, d:20
010111110100001100110  bits: 21, d:20
011001100001011111010  bits: 21, d:20
000010100110011111010  bits: 21, d:20
000010110011001111010  bits: 21, d:20
000101101001110111010  bits: 21, d:20
000010011110100111010  bits: 21, d:20
000011100110011011010  bits: 21, d:20
000011111001101011010  bits: 21, d:20
000100011111001011010  bits: 21, d:20
000000111001101101010  bits: 21, d:20
000011110011001101010  bits: 21, d:20
111100001100110101010  bits: 21, d:20
001100011111100101010  bits: 21, d:20
000001111001100101010  bits: 21, d:20
000001101100111001010  bits: 21, d:20
000111111001101001010  bits: 21, d:20
000001111001101001010  bits: 21, d:20
000111110111001001010  bits: 21, d:20
000111110110001001010  bits: 21, d:20
000110100011011110010  bits: 21, d:20
000110111110101110010  bits: 21, d:20
000110111100101110010  bits: 21, d:20
000110001011110110010  bits: 21, d:20
000111101110111010010  bits: 21, d:20
000111110011001010010  bits: 21, d:20
000111110110001010010  bits: 21, d:20
000111001110110010010  bits: 21, d:20
000111011100010010010  bits: 21, d:20
000111011011100010010  bits: 21, d:20
000111011110100010010  bits: 21, d:20
011010101100111111100  bits: 21, d:20
011010110011001111100  bits: 21, d:20
011011001001110011100  bits: 21, d:20
011011011100100011100  bits: 21, d:20
011011010100000011100  bits: 21, d:20
010101001111110001100  bits: 21, d:20
011101110100010110100  bits: 21, d:20
011111000100010010100  bits: 21, d:20
011100001110110100100  bits: 21, d:20
011111000100010100100  bits: 21, d:20
011100011011100100100  bits: 21, d:20
011101101011111000100  bits: 21, d:20
011101001110110000100  bits: 21, d:20
011101011011100000100  bits: 21, d:20
010100101100111111000  bits: 21, d:20
010100100111011111000  bits: 21, d:20
010010100011011111000  bits: 21, d:20
010100100011011111000  bits: 21, d:20
010010100110011111000  bits: 21, d:20
010010111011101111000  bits: 21, d:20
010010001011110111000  bits: 21, d:20
010010010001110111000  bits: 21, d:20
010010001110110111000  bits: 21, d:20
010010011011100111000  bits: 21, d:20
010011101011111011000  bits: 21, d:20
010011101001111011000  bits: 21, d:20
010011110110001011000  bits: 21, d:20
010011011110100011000  bits: 21, d:20
011100111001011101000  bits: 21, d:20
010111011100101101000  bits: 21, d:20
010110100111110001000  bits: 21, d:20
010110101100111110000  bits: 21, d:20
010101100110011110000  bits: 21, d:20
101010100110011110000  bits: 21, d:20
010110110011001110000  bits: 21, d:20
010111100110011010000  bits: 21, d:20
010111110011001010000  bits: 21, d:20
010111001011110010000  bits: 21, d:20
010100101100111100000  bits: 21, d:20
010101001100111100000  bits: 21, d:20
010100111001101100000  bits: 21, d:20
010101101100111000000  bits: 21, d:20
bits: 21, Max : 20
1010010011000001110111  bits: 22, d:21
1011011100001001000111  bits: 22, d:21
1110001001000011101101  bits: 22, d:21
1000000110111100110101  bits: 22, d:21
1001101001101010010101  bits: 22, d:21
1110111000001100100101  bits: 22, d:21
1010100101011001011001  bits: 22, d:21
1010110011110110000001  bits: 22, d:21
0101001100001001111110  bits: 22, d:21
0101011010100110100110  bits: 22, d:21
0001000111110011011010  bits: 22, d:21
0110010110010101101010  bits: 22, d:21
0111111001000011001010  bits: 22, d:21
0001110110111100010010  bits: 22, d:21
0100100011110110111000  bits: 22, d:21
0101101100111110001000  bits: 22, d:21
bits: 22, Max : 21
bits: 23, Max : 1
100100101010001100011111  bits: 24, d:23
010001001011011110000111  bits: 24, d:23
000111100001001011011101  bits: 24, d:23
111110001100010101001001  bits: 24, d:23
000001110011101010110110  bits: 24, d:23
111000011110110100100010  bits: 24, d:23
101110110100100001111000  bits: 24, d:23
011011010101110011100000  bits: 24, d:23
bits: 24, Max : 23
1010100111000100100111111  bits: 25, d:24
1010100100100111000111111  bits: 25, d:24
1010110000011001010011111  bits: 25, d:24
1010100100110000100011111  bits: 25, d:24
1010110100011001000011111  bits: 25, d:24
1010110101100110000011111  bits: 25, d:24
1010001011000100111101111  bits: 25, d:24
1010001011000010001101111  bits: 25, d:24
1010001101000100001101111  bits: 25, d:24
1010000011011000110101111  bits: 25, d:24
1010011000000101011001111  bits: 25, d:24
1010100000100110110001111  bits: 25, d:24
1010010100110011000001111  bits: 25, d:24
1001000001110001010110111  bits: 25, d:24
1011000010001101110100111  bits: 25, d:24
1011000010000101110100111  bits: 25, d:24
1011000000100111010100111  bits: 25, d:24
1011000001011000010100111  bits: 25, d:24
1011011011000100111000111  bits: 25, d:24
1011011000000101011000111  bits: 25, d:24
1011011100000101001000111  bits: 25, d:24
1011010111001100100000111  bits: 25, d:24
1011010111000100100000111  bits: 25, d:24
1011010111011000100000111  bits: 25, d:24
1010110010110011000000111  bits: 25, d:24
1010110100110011000000111  bits: 25, d:24
1011010101100110000000111  bits: 25, d:24
1000100001011110010111011  bits: 25, d:24
1000100100101111000111011  bits: 25, d:24
1000111000000101011011011  bits: 25, d:24
1000111100010001001011011  bits: 25, d:24
1000001011001100111101011  bits: 25, d:24
1000001001110010011101011  bits: 25, d:24
1000000011100110110101011  bits: 25, d:24
1001001010001101111100011  bits: 25, d:24
1001001000101111011100011  bits: 25, d:24
1001010010110011110000011  bits: 25, d:24
1110001001010000011101101  bits: 25, d:24
1110001110010001101101101  bits: 25, d:24
1110001101010000001101101  bits: 25, d:24
1110000010001101110101101  bits: 25, d:24
